0   1   2   3   4   5   6   7   8   9   10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40  41  42  43  44  45  46  47  48  49  50  51  52  53  54  55  56  57  58  59  60  61  62  63  
1   0   3   2   5   4   7   6   9   8   11  10  13  12  15  14  17  16  19  18  21  20  23  22  25  24  27  26  29  28  31  30  33  32  35  34  37  36  39  38  41  40  43  42  45  44  47  46  49  48  51  50  53  52  55  54  57  56  59  58  61  60  63  62  
2   3   0   1   6   7   4   5   10  11  8   9   14  15  12  13  18  19  16  17  22  23  20  21  26  27  24  25  30  31  28  29  34  35  32  33  38  39  36  37  42  43  40  41  46  47  44  45  50  51  48  49  54  55  52  53  58  59  56  57  62  63  60  61  
3   2   1   0   7   6   5   4   11  10  9   8   15  14  13  12  19  18  17  16  23  22  21  20  27  26  25  24  31  30  29  28  35  34  33  32  39  38  37  36  43  42  41  40  47  46  45  44  51  50  49  48  55  54  53  52  59  58  57  56  63  62  61  60  
4   5   6   7   0   1   2   3   12  13  14  15  8   9   10  11  20  21  22  23  16  17  18  19  28  29  30  31  24  25  26  27  36  37  38  39  32  33  34  35  44  45  46  47  40  41  42  43  52  53  54  55  48  49  50  51  60  61  62  63  56  57  58  59  
5   4   7   6   1   0   3   2   13  12  15  14  9   8   11  10  21  20  23  22  17  16  19  18  29  28  31  30  25  24  27  26  37  36  39  38  33  32  35  34  45  44  47  46  41  40  43  42  53  52  55  54  49  48  51  50  61  60  63  62  57  56  59  58  
6   7   4   5   2   3   0   1   14  15  12  13  10  11  8   9   22  23  20  21  18  19  16  17  30  31  28  29  26  27  24  25  38  39  36  37  34  35  32  33  46  47  44  45  42  43  40  41  54  55  52  53  50  51  48  49  62  63  60  61  58  59  56  57  
7   6   5   4   3   2   1   0   15  14  13  12  11  10  9   8   23  22  21  20  19  18  17  16  31  30  29  28  27  26  25  24  39  38  37  36  35  34  33  32  47  46  45  44  43  42  41  40  55  54  53  52  51  50  49  48  63  62  61  60  59  58  57  56  
8   9   10  11  12  13  14  15  0   1   2   3   4   5   6   7   24  25  26  27  28  29  30  31  16  17  18  19  20  21  22  23  40  41  42  43  44  45  46  47  32  33  34  35  36  37  38  39  56  57  58  59  60  61  62  63  48  49  50  51  52  53  54  55  
9   8   11  10  13  12  15  14  1   0   3   2   5   4   7   6   25  24  27  26  29  28  31  30  17  16  19  18  21  20  23  22  41  40  43  42  45  44  47  46  33  32  35  34  37  36  39  38  57  56  59  58  61  60  63  62  49  48  51  50  53  52  55  54  
10  11  8   9   14  15  12  13  2   3   0   1   6   7   4   5   26  27  24  25  30  31  28  29  18  19  16  17  22  23  20  21  42  43  40  41  46  47  44  45  34  35  32  33  38  39  36  37  58  59  56  57  62  63  60  61  50  51  48  49  54  55  52  53  
