0   1   2   3   4   5   6   7   8   9   10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  
1   2   0   4   5   3   7   8   6   10  11  9   13  14  12  16  17  15  19  20  18  22  23  21  25  26  24  
2   0   1   5   3   4   8   6   7   11  9   10  14  12  13  17  15  16  20  18  19  23  21  22  26  24  25  
3   4   5   6   7   8   0   1   2   12  13  14  15  16  17  9   10  11  21  22  23  24  25  26  18  19  20  
4   5   3   7   8   6   1   2   0   13  14  12  16  17  15  10  11  9   22  23  21  25  26  24  19  20  18  
5   3   4   8   6   7   2   0   1   14  12  13  17  15  16  11  9   10  23  21  22  26  24  25  20  18  19  
6   7   8   0   1   2   3   4   5   15  16  17  9   10  11  12  13  14  24  25  26  18  19  20  21  22  23  
7   8   6   1   2   0   4   5   3   16  17  15  10  11  9   13  14  12  25  26  24  19  20  18  22  23  21  
8   6   7   2   0   1   5   3   4   17  15  16  11  9   10  14  12  13  26  24  25  20  18  19  23  21  22  
9   10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  0   1   2   3   4   5   6   7   8   
10  11  9   13  14  12  16  17  15  19  20  18  22  23  21  25  26  24  1   2   0   4   5   3   7   8   6   
11  9   10  14  12  13  17  15  16  20  18  19  23  21  22  26  24  25  2   0   1   5   3   4   8   6   7   
12  13  14  15  16  17  9   10  11  21  22  23  24  25  26  18  19  20  3   4   5   6   7   8   0   1   2   
13  14  12  16  17  15  10  11  9   22  23  21  25  26  24  19  20  18  4   5   3   7   8   6   1   2   0   
14  12  13  17  15  16  11  9   10  23  21  22  26  24  25  20  18  19  5   3   4   8   6   7   2   0   1   
15  16  17  9   10  11  12  13  14  24  25  26  18  19  20  21  22  23  6   7   8   0   1   2   3   4   5   
16  17  15  10  11  9   13  14  12  25  26  24  19  20  18  22  23  21  7   8   6   1   2   0   4   5   3   
17  15  16  11  9   10  14  12  13  26  24  25  20  18  19  23  21  22  8   6   7   2   0   1   5   3   4   
18  19  20  21  22  23  24  25  26  0   1   2   3   4   5   6   7   8   9   10  11  12  13  14  15  16  17  
19  20  18  22  23  21  25  26  24  1   2   0   4   5   3   7   8   6   10  11  9   13  14  12  16  17  15  
20  18  19  23  21  22  26  24  25  2   0   1   5   3   4   8   6   7   11  9   10  14  12  13  17  15  16  
21  22  23  24  25  26  18  19  20  3   4   5   6   7   8   0   1   2   12  13  14  15  16  17  9   10  11  
22  23  21  25  26  24  19  20  18  4   5   3   7   8   6   1   2   0   13  14  12  16  17  15  10  11  9   
23  21  22  26  24  25  20  18  19  5   3   4   8   6   7   2   0   1   14  12  13  17  15  16  11  9   10  
24  25  26  18  19  20  21  22  23  6   7   8   0   1   2   3   4   5   15  16  17  9   10  11  12  13  14  
25  26  24  19  20  18  22  23  21  7   8   6   1   2   0   4   5   3   16  17  15  10  11  9   13  14  12  
26  24  25  20  18  19  23  21  22  8   6   7   2   0   1   5   3   4   17  15  16  11  9   10  14  12  13  

